imdb_id,popularity,budget,revenue,title,runtime,release_date
tt4594834,0.470124,0,0,Chi-Raq,127,12/4/2015
tt3525346,0.467556,5300000,0,Bad Asses on the Bayou,85,3/6/2015
tt4191054,0.465707,0,13603453,Strange Magic,99,1/23/2015
tt2883434,0.46209,9000000,21571189,Black or White,121,1/30/2015
tt3816458,0.459597,0,0,Dead Rising,118,3/27/2015
tt3705412,0.454151,0,0,Deathgasm,86,8/28/2015
tt4324302,0.452939,0,0,Justice League: Gods and Monsters,76,7/28/2015
tt1490785,0.450872,13000000,1646788,I Saw the Light,123,9/11/2015
tt3297330,0.45016,0,316472,Good Kill,104,4/9/2015
tt4935334,0.444265,0,0,Southbound,89,9/17/2015
tt2621446,0.444193,0,0,Star Trek: Renegades,88,8/1/2015
tt2443822,0.443525,0,0,The Boy,110,8/14/2015
tt4941804,0.442835,0,0,Riley's First Date?,5,11/3/2015
tt3083008,0.442427,0,3286448,The Program,103,9/16/2015
tt3442990,0.442067,0,0,Lila & Eve,94,7/31/2015
tt2118624,0.441882,0,0,The Final Girls,91,10/9/2015
tt2386404,0.441402,0,0,He Never Died,99,3/17/2015
tt4537842,0.439597999999999,0,0,A Very Murray Christmas,56,12/4/2015
tt2474958,0.438409,0,0,Kill Your Friends,100,11/6/2015
tt2784134,0.437088,0,0,Battle For SkyArk,88,5/18/2015
tt3614530,0.435582,5000000,2333684,Jem and the Holograms,119,10/22/2015
tt1735907,0.433072999999999,0,0,The Adderall Diaries,105,4/16/2015
tt1694021,0.429892,10000000,0,Grizzly,94,2/27/2015
tt4897822,0.427116,0,0,Where to Invade Next,120,12/23/2015
tt1365050,0.424813,6000000,90777,Beasts of No Nation,137,9/11/2015
tt3688406,0.423161,0,0,A Christmas Horror Story,99,10/2/2015
tt2262161,0.42179,0,0,Sunset Song,135,12/4/2015
tt2049543,0.429756,0,4505,Synchronicity,101,7/22/2015
tt5133810,0.417191,0,0,12 Gifts of Christmas,84,11/26/2015
tt4167720,0.415041,0,0,The Pack,90,8/5/2015
tt1841642,0.414913,3000000,3387000,Demonic,83,2/12/2015
tt3826866,0.370258,0,0,The Girl in the Photographs,95,9/14/2015
tt2552394,0.412877,0,0,The Legend of Barney Thomson,96,7/24/2015
tt2570858,0.412503,1000000,0,The Duke of Burgundy,101,1/23/2015
tt3465074,0.409698,0,0,88,88,1/6/2015
tt2980554,0.405095,0,0,The Girl in the Book,86,6/13/2015
tt4296026,0.404511,0,0,Avengers Grimm,90,3/17/2015
tt3534602,0.402236,447524,771317,The D Train,101,5/8/2015
tt4938602,0.250209,0,0,The Lion Guard: Return of the Roar,44,11/22/2015
tt1837562,0.399947,0,228136,A Royal Night Out,97,5/14/2015
tt3479316,0.398982,0,0,Parallels,83,3/1/2015
tt2133196,0.396791,0,830129,Born to Be Blue,97,9/13/2015
tt3528666,0.394466,1950000,0,The Marine 4: Moving Target,90,4/10/2015
tt4163020,0.393642,0,0,Tales of Halloween,90,10/16/2015
tt3520290,0.393566,1000000,0,Blunt Force Trauma,92,10/5/2015
tt3849692,0.391326,0,0,Operator,88,8/21/2015
tt1883367,0.386529,0,0,The Human Centipede 3 (Final Sequence),103,5/22/2015
tt3395184,0.383406,0,49970,Spring,109,3/20/2015
tt3496372,0.383183,0,0,The Intruders,92,2/24/2015
tt3520418,0.382997,0,0,We Are Still Here,84,6/5/2015
tt4137924,0.712889999999999,0,0,Monster High: Haunted,75,3/2/2015
tt4685096,0.378836,0,0,3-Headed Shark Attack,90,7/20/2015
tt4511566,0.37668,0,0,Navy Seals vs. Zombies,97,10/8/2015
tt4227282,0.411416,0,0,Wrecker,83,11/6/2015
tt3793788,0.374853,0,0,The Escort,88,6/15/2015
tt1663655,0.372889,0,0,Martyrs,86,12/31/2015
tt2321502,0.371145,0,0,Uncanny,91,1/31/2015
tt3856042,0.370148,0,0,Bad Hair Day,90,2/13/2015
tt1519461,0.369529,5000000,0,Area 51,91,5/15/2015
tt4547120,0.369108,0,0,San Andreas Quake,90,5/19/2015
tt3687398,0.36817,6000000,0,The Runner,90,8/7/2015
tt3090670,0.367617,0,0,Advantageous,92,6/23/2015
tt3155242,0.367434,0,0,Partisan,98,1/25/2015
tt4386242,0.36603,4400000,0,R.L. Stine's Monsterville: The Cabinet of Souls,85,9/29/2015
tt2325977,0.365901,10000000,17472,Strangerland,111,7/1/2015
tt3774466,0.329164,0,0,Ashby,102,4/19/2015
tt3881768,0.359826,0,0,Beautiful & Twisted,90,1/31/2015
tt5065822,0.357654,0,0,Ronaldo,0,11/9/2015
tt4257858,0.357614,0,0,Going Clear: Scientology and the Prison of Belief,119,1/25/2015
tt3346224,0.357567,0,0,Zipper,103,8/28/2015
tt3779300,0.356519,0,0,War Pigs,92,8/3/2015
tt3672742,0.354624,0,0,Turbo Kid,95,8/14/2015
tt4955162,0.350858,0,0,Barbie in Rock 'N Royals,84,8/13/2015
tt3118452,0.350599,0,0,Circle,87,10/2/2015
tt3660770,0.348306,0,16661077,Monkey Kingdom,81,4/17/2015
tt4126340,0.347797,0,0,Joe Dirt 2: Beautiful Loser,107,7/16/2015
tt5223342,0.344994,0,0,Minions: The Competition,4,11/4/2015
tt3236120,0.344549,0,7449681,I'll See You in My Dreams,92,5/15/2015
tt4505830,0.34253,0,0,Jesse Stone: Lost in Paradise,87,10/18/2015
tt4425064,0.574031,0,494506,Steve Jobs: The Man in the Machine,129,8/7/2015
tt4234734,0.339297,0,0,Babysitter's Black Book,88,2/21/2015
tt4126438,0.511431,0,0,The Ones Below,87,10/14/2015
tt4180514,0.336453,0,0,Tremors 5: Bloodlines,99,10/6/2015
tt3268668,0.336107,2000000,2801508,Captive,97,9/17/2015
tt3399896,0.335941,0,0,Terminus,94,1/30/2015
tt4073890,0.333656,0,0,Andron,100,11/8/2015
tt3919218,0.332921,0,0,How to Plan an Orgy in a Small Town,101,9/19/2015
tt1817771,0.330968,0,70958,Freaks of Nature,92,10/30/2015
tt1230213,0.330484,0,0,Reversal,80,6/26/2015
tt4729754,0.329776,0,0,Batman Unlimited: Monster Mayhem,81,8/18/2015
tt1321869,0.329109,27000000,0,The Lovers,109,2/13/2015
tt3671542,0.327373,0,0,Holding the Man,128,8/27/2015
tt3397918,0.327066,0,0,Harbinger Down,82,8/7/2015
tt4437640,0.32705,0,0,Batman Unlimited: Animal Instincts,78,5/12/2015
tt3343784,0.324666,0,0,Entertainment,113,8/11/2015
tt3529656,0.324515,0,0,Meadowland,105,10/16/2015
tt0420293,0.324,0,643557,The Stanford Prison Experiment,122,7/17/2015
tt1254322,0.390188,0,0,The Girl King,106,12/11/2015
tt3704352,0.322653,0,0,Bessie,107,5/16/2015
tt3280916,0.32264,0,0,The Atticus Institute,92,1/20/2015
tt1891923,0.30035,0,0,The Hoarder,86,5/21/2015
